t,rms,p2p,crest,kurtosis,equipment
55.75,0.13973417427401214,1.109044,3.976994195494764,3.2968159150855674,MOTOR_001
56.0,0.1418782164611859,1.308852,4.805727172264884,3.7305131559402827,MOTOR_001
56.25,0.13824738473866513,1.318138,4.999110842541015,3.88810742457778,MOTOR_001
56.5,0.13410546615582827,1.24489,5.153511037327422,3.5632560108210187,MOTOR_001
56.75,0.13830165114727797,1.4445169999999998,5.721573050182448,3.853275653829491,MOTOR_001
57.0,0.14121756463521323,1.527385,5.603431853849468,3.9549257493418843,MOTOR_001
57.25,0.13887724637408705,1.376085,5.300234698038661,3.7797176391001477,MOTOR_001
57.5,0.13903293896351324,1.299755,4.745292769601456,3.650568441236348,MOTOR_001
57.75,0.13902283139056917,1.273477,5.249029908978697,3.676411012640726,MOTOR_001
58.0,0.1352943523653265,1.2555230000000002,5.393684120897702,3.720324061074883,MOTOR_001
58.25,0.1367205992746969,1.193999,4.821607010919544,3.78507090802733,MOTOR_001
58.5,0.1371260656146398,1.160293,4.561547049397878,3.6528034837549646,MOTOR_001
58.75,0.13505757156562437,1.334017,5.0756798900897735,3.639800846586804,MOTOR_001
59.0,0.1378221076107916,1.354985,4.973868212318094,3.8329368740818794,MOTOR_001
59.25,0.13886742962420534,1.15821,4.8209720725133,3.6535798851073906,MOTOR_001
59.5,0.1349068555510162,1.062597,4.307927848634987,3.3630644180750124,MOTOR_001
59.75,0.13641396650295243,1.183257,5.163466894606831,3.559440323642174,MOTOR_001
60.0,0.14072076525629398,1.515994,5.767627816134966,3.8594256846795787,MOTOR_001
60.25,0.1388349305533693,1.495183,5.845971159887639,3.7995037720847735,MOTOR_001
60.5,0.1390933758529841,1.186645,4.6614225589384155,3.6506803398467986,MOTOR_001
60.75,0.1404096079572121,1.163889,4.455656625653766,3.5941357258141933,MOTOR_001
61.0,0.1385450930680238,1.0701939999999999,4.083255404233201,3.605088053216309,MOTOR_001
61.25,0.1357649800296099,1.0701939999999999,4.166869835480544,3.3481049810461245,MOTOR_001
61.5,0.1346344065354437,1.2244389999999998,4.67156216739012,3.297277882596371,MOTOR_001
61.75,0.1368367933547142,1.322767,5.070376051574563,3.6331609595762617,MOTOR_001
62.0,0.1404777060502128,1.3154020000000002,4.938961629626846,3.5146536503618186,MOTOR_001
62.25,0.1409250846200615,1.335149,4.811868673545338,3.347756385763081,MOTOR_001
62.5,0.13678062332274854,1.35318,5.410378912032066,3.625793883692727,MOTOR_001
62.75,0.13431964018824463,1.34575,5.509507015972235,3.6045497725459352,MOTOR_001
63.0,0.13277282802191212,1.222995,5.2599768371638715,3.580904053144611,MOTOR_001
63.25,0.1325414189214583,1.21365,5.269160430626209,3.533018994735824,MOTOR_001
63.5,0.13149990902456357,1.049992,4.270504855597285,3.2393856214231183,MOTOR_001
63.75,0.13289042446432417,1.040609,4.285365196894859,3.374618368154498,MOTOR_001
64.0,0.13361698959051202,1.277719,5.95410809986167,3.541785274740701,MOTOR_001
64.25,0.1328983863304522,1.3527740000000001,5.986302933895773,3.480168295957526,MOTOR_001
64.5,0.13641941116073025,1.161076,4.426584126569158,3.2282677980980714,MOTOR_001
64.75,0.133915686039174,1.0276420000000002,3.849086057395964,3.113001140591815,MOTOR_001
65.0,0.13298316610657576,1.302841,5.870494911922517,3.3382665378695204,MOTOR_001
65.25,0.13783469406028276,1.302841,5.663864278311284,3.450961803316498,MOTOR_001
65.5,0.13636709858690438,1.14408,4.584683596546354,3.3550637761423285,MOTOR_001
65.75,0.13530285759674435,1.245413,5.299939799772971,3.6575614783635486,MOTOR_001
